Sno.	Question (100 words)	Answer (Max 2000 words)	Question Category (Refer Sheet 2)	Applicable to Pathways	Pathway Stage	Source of Data (Preferable URL)	Actual Excerpt from the Source Data	Hospitals Applicable	Date	Author Name	Reviewed By	Expiry Date
11	What exercises can I do to help reduce the risk of lymphoedema?	You can do arm and shoulder exercises to increase mobility after surgery and help reduce the risk of lymphoedema. Deep breathing exercises can also help improve lymph drainage. Our leaflet 'Exercises after breast cancer surgery' contains specific exercises.	EXERCISE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Using your “at risk” arm and regular exercise Keeping your arm and shoulder moving can help reduce the risk of lymphoedema. If you’ve recently had breast surgery, do the exercises provided by your treatment team to help your recovery. Our leaflet Exercises after breast cancer surgery contains arm and shoulder exercises to increase mobility after surgery and help reduce the risk of lymphoedema.	All	2025-12-11	Healthcare AI Team		
12	Should I avoid deep tissue massage on my at-risk side?	Deep tissue massage can encourage more fluid to the treated area, so it’s generally recommended to avoid it on your at-risk side. However, many therapists are trained to work with people at risk of or with lymphoedema, so check with your therapist before proceeding.	THERAPY	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Massage Deep tissue massage will encourage more fluid to the treated area, so you may want to avoid this on your “at risk” side. However, many therapists are now trained to work with people who are at risk of developing or have lymphoedema, so check with your therapist.	All	2025-12-11	Healthcare AI Team		
13	Can lymphoedema develop years after my breast cancer treatment?	Yes, lymphoedema can develop months or even years after surgery, radiotherapy, or chemotherapy. It’s important to be aware of the risk and quickly identify any swelling that develops.	LONG_TERM_RISK	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	You may notice lymphoedema in the months after surgery, radiotherapy or sometimes chemotherapy. However, it can also occur many years later.	All	2025-12-11	Healthcare AI Team		
14	What is the difference between breast oedema and lymphoedema?	Breast oedema is swelling that occurs after breast surgery or radiotherapy and usually resolves over time. Lymphoedema is a long-term condition where swelling lasts for three months or more. Symptoms may be similar, but breast oedema typically does not require long-term management like lymphoedema.	SYMPTOMS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Swelling of the breast (breast oedema) You may develop swelling of the breast (oedema) after breast surgery or radiotherapy. This is different from lymphoedema, which is swelling that lasts for 3 months or more, but the symptoms may be similar.	All	2025-12-11	Healthcare AI Team		
15	How can I maintain a healthy weight to reduce my risk of lymphoedema?	To maintain a healthy weight, eat a balanced diet and engage in regular physical activity. If you’re concerned about your weight, consult your GP, breast care nurse, treatment team, or a dietitian for advice on losing weight. The NHS website and our booklet 'Diet and breast cancer' offer additional tips on healthy eating.	NUTRITION	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Maintain a healthy body weight. It’s important to try to maintain a healthy weight, as this can help reduce your risk of lymphoedema. Eating healthily and doing some regular physical activity and exercise can help you maintain a healthy body weight.	All	2025-12-11	Healthcare AI Team		
16	What should I do if I notice redness or a rash in my at-risk area?	If you notice redness or a rash in your at-risk area, it could be a sign of infection. Keep the area clean, apply antiseptic cream, and contact your GP or breast care nurse as soon as possible. You may need antibiotic treatment.	INFECTION_MANAGEMENT	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	What should I do if I notice any signs of infection? If you think a cut, graze, scratch or insect bite has become infected, keep the area clean and apply antiseptic cream. Cover the area where appropriate. Contact your GP or breast care nurse as soon as possible if: There is redness or a rash around the area.	All	2025-12-11	Healthcare AI Team		
17	Can acupuncture increase my risk of lymphoedema?	Acupuncture itself does not increase the risk of lymphoedema, but it’s important to ask your therapist to avoid the at-risk areas to minimize any potential complications.	THERAPY	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Acupuncture Ask your therapist to avoid the “at risk” areas if you have acupuncture.	All	2025-12-11	Healthcare AI Team		
18	Is it safe to use saunas if I’m at risk of lymphoedema?	While there is no evidence that using saunas increases the risk of lymphoedema, saunas can increase overall body swelling. It’s advisable to be cautious and monitor your body’s response.	LIFESTYLE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Manicures, hot tubs and saunas There is no evidence that having manicures or using hot tubs or saunas increases your risk of lymphoedema. However, saunas can increase swelling in your body.	All	2025-12-11	Healthcare AI Team		
19	What organizations can provide further support and information about lymphoedema?	You can seek further support and information from organizations like the British Lymphology Society (BLS) and the Lymphoedema Support Network. They provide resources, directories of lymphoedema clinics, and support services for people living with lymphoedema.	SUPPORT_RESOURCES	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Further support If you have any concerns about your risk of lymphoedema, you can talk to your breast care nurse or treatment team. You can also call our helpline on 0808 800 6000 or visit our website breastcancernow.org	All	2025-12-11	Healthcare AI Team		
20	How can I protect my skin to reduce the risk of infection and lymphoedema?	To protect your skin and reduce the risk of infection, moisturize daily to prevent dry and cracked skin, use a high factor sunscreen to avoid sunburn, wear gloves during household tasks, use insect repellent with at least 50% DEET, and take care when removing hair or cutting nails.	SKIN_CARE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Reduce your risk of infection In your “at risk” arm, hand, breast or chest area can cause swelling and may cause hardening in the tissue. This may lead to lymphoedema. The following tips may help reduce your risk of developing an infection: Moisturise your skin daily to prevent dry and cracked skin, Use a high factor sunscreen to avoid sunburn, Wear gloves when washing up, gardening or taking hot dishes out of the oven, Use insect repellent containing at least 50% DEET to prevent bites or stings	All	2025-12-11	Healthcare AI Team		
21	What is lymphoedema and why should I be concerned about it?	Lymphoedema is a long-term condition that causes swelling in the body's tissues, often in the arm or leg. It occurs when the lymphatic system is damaged or blocked, usually as a side effect of cancer treatment. You should be concerned because it can lead to discomfort, reduced mobility, and increased risk of infections.	SYMPTOMS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Lymphoedema is a long-term condition that causes swelling in the body’s tissues, often in the arm or leg.	All	2025-12-11	Healthcare AI Team		
22	How can I reduce the risk of developing lymphoedema after breast cancer treatment?	To reduce the risk of lymphoedema, maintain a healthy weight, avoid injuries to your arm, keep your arm clean and moisturized, and avoid tight clothing. Engage in regular, gentle exercise and follow any specific advice given by your healthcare team.	LIFESTYLE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Maintain a healthy weight, avoid injuries to your arm, keep your arm clean and moisturized, and avoid tight clothing.	All	2025-12-11	Healthcare AI Team		
23	What should I do if I notice swelling in my arm after surgery?	If you notice swelling in your arm after surgery, contact your healthcare team immediately. They will assess the swelling and provide appropriate treatment to manage it and reduce the risk of lymphoedema.	POST_SURGERY_RECOVERY	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	If you notice swelling in your arm after surgery, contact your healthcare team immediately.	All	2025-12-11	Healthcare AI Team		
24	Are there specific exercises I should avoid to prevent lymphoedema?	You should avoid high-impact exercises and heavy lifting with the affected arm. Instead, focus on gentle, low-impact activities like walking, swimming, or yoga. Always consult your healthcare provider before starting any new exercise routine.	LIFESTYLE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Avoid high-impact exercises and heavy lifting with the affected arm.	All	2025-12-11	Healthcare AI Team		
25	Can infections increase my risk of lymphoedema?	Yes, infections can increase your risk of lymphoedema. It’s important to keep your skin clean and moisturized, avoid cuts and injuries, and seek prompt treatment for any infections. Good hygiene and careful skin care are crucial.	SAFETY_RED_FLAGS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Infections can increase your risk of lymphoedema.	All	2025-12-11	Healthcare AI Team		
26	What role does weight management play in preventing lymphoedema?	Maintaining a healthy weight is important in preventing lymphoedema because excess weight can put additional strain on your lymphatic system. A balanced diet and regular exercise can help you achieve and maintain a healthy weight.	LIFESTYLE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Maintaining a healthy weight is important in preventing lymphoedema.	All	2025-12-11	Healthcare AI Team		
27	Should I avoid bug bites on my affected arm?	Yes, you should take precautions to avoid bug bites on your affected arm. Use insect repellent and wear protective clothing when outdoors to reduce the risk of infections, which can exacerbate lymphoedema.	SAFETY_RED_FLAGS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Take precautions to avoid bug bites on your affected arm.	All	2025-12-11	Healthcare AI Team		
28	How often should I moisturize my arm to prevent lymphoedema?	You should moisturize your arm daily to keep the skin soft and reduce the risk of cracks or injuries that could lead to infections. Use a gentle, fragrance-free moisturizer to avoid irritation.	DRAINS_WOUND_CARE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Moisturize your arm daily to keep the skin soft.	All	2025-12-11	Healthcare AI Team		
29	Is it safe to get a blood pressure reading on my affected arm?	It is generally recommended to avoid taking blood pressure readings on the affected arm to reduce the risk of lymphoedema. Discuss alternative methods with your healthcare provider.	MEDICAL_PROCEDURES	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Avoid taking blood pressure readings on the affected arm.	All	2025-12-11	Healthcare AI Team		
30	Can I still wear a seatbelt if I have lymphoedema?	Yes, you can wear a seatbelt, but make sure it doesn’t press too tightly against the affected arm. Adjust the seatbelt to minimize pressure on the swollen area.	SAFETY_RED_FLAGS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Make sure the seatbelt doesn’t press too tightly against the affected arm.	All	2025-12-11	Healthcare AI Team		
31	What should I do if I get a cut on my affected arm?	If you get a cut on your affected arm, clean it immediately with mild soap and water, apply an antibiotic ointment, and cover it with a sterile bandage. Monitor the cut for signs of infection and contact your healthcare provider if you notice any redness, swelling, or pus.	DRAINS_WOUND_CARE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Clean it immediately with mild soap and water, apply an antibiotic ointment, and cover it with a sterile bandage.	All	2025-12-11	Healthcare AI Team		
32	Can lymphoedema develop years after my breast cancer treatment?	Yes, lymphoedema can develop years after breast cancer treatment. It’s important to remain vigilant about the signs and symptoms and seek medical advice if you notice any swelling or changes in your arm.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Lymphoedema can develop years after breast cancer treatment.	All	2025-12-11	Healthcare AI Team		
33	What are the early signs of lymphoedema I should watch for?	Early signs of lymphoedema include swelling in the arm or hand, a feeling of heaviness or tightness, reduced flexibility, and thickening of the skin. If you notice any of these symptoms, contact your healthcare provider.	SYMPTOMS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Early signs include swelling in the arm or hand, a feeling of heaviness or tightness, reduced flexibility, and thickening of the skin.	All	2025-12-11	Healthcare AI Team		
34	How can I protect my arm during air travel?	During air travel, keep your arm elevated when possible, avoid tight clothing, and take breaks to move and stretch. Staying hydrated and avoiding alcohol can also help reduce the risk of swelling.	TRAVEL_PRECAUTIONS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Keep your arm elevated when possible, avoid tight clothing, and take breaks to move and stretch.	All	2025-12-11	Healthcare AI Team		
35	Can I still get a tattoo on my affected arm?	It is generally not recommended to get a tattoo on the affected arm due to the increased risk of infection and complications. Discuss this with your healthcare provider before making any decisions.	SAFETY_RED_FLAGS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	It is generally not recommended to get a tattoo on the affected arm.	All	2025-12-11	Healthcare AI Team		
36	What kind of support garments can help manage lymphoedema?	Compression garments, such as sleeves or gloves, can help manage lymphoedema by applying gentle pressure to the affected arm, reducing swelling, and improving circulation. Consult your healthcare provider for recommendations on the best type of garment for you.	TREATMENT	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Compression garments can help manage lymphoedema.	All	2025-12-11	Healthcare AI Team		
37	How can I manage the emotional impact of lymphoedema?	Managing the emotional impact of lymphoedema involves seeking support from friends, family, or support groups. Consider speaking to a counselor or therapist who specializes in chronic conditions. Practicing relaxation techniques and maintaining a positive outlook can also be beneficial.	EMOTIONAL_SUPPORT	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Seek support from friends, family, or support groups.	All	2025-12-11	Healthcare AI Team		
38	What should I discuss with my healthcare provider about lymphoedema prevention?	Discuss your risk factors, any symptoms you’re experiencing, and the best preventive measures for your specific situation. Ask about exercise recommendations, skin care routines, and what to do if you notice swelling or other changes.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Discuss your risk factors, any symptoms you’re experiencing, and the best preventive measures.	All	2025-12-11	Healthcare AI Team		
39	Can lymphoedema affect my ability to work?	Lymphoedema can affect your ability to work, especially if your job involves heavy lifting or repetitive arm movements. Discuss accommodations with your employer and healthcare provider to manage your condition effectively.	WORK_ACCOMMODATIONS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Discuss accommodations with your employer and healthcare provider.	All	2025-12-11	Healthcare AI Team		
40	What resources are available to help me learn more about lymphoedema?	Resources include Breast Cancer Now’s website, support groups, and educational materials provided by your healthcare team. You can also contact Breast Cancer Now’s helpline for personalized advice and information.	RESOURCES	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Resources include Breast Cancer Now’s website, support groups, and educational materials.	All	2025-12-11	Healthcare AI Team		
41	What is lymphoedema and what causes it?	Lymphoedema is swelling caused by a build-up of fluid in the body’s tissues, usually affecting the arm, hand, fingers, breast, chest, shoulder, or back area behind the armpit. It is often caused by damage to or removal of lymph nodes and vessels during surgery or radiotherapy, which impairs the lymphatic system’s ability to drain fluid. It can also be triggered by infections like cellulitis or injuries.	SYMPTOMS	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	Lymphoedema is swelling caused by a build-up of fluid in the body’s tissues. It usually affects the arm, but it may also affect the hand and fingers. Some people develop lymphoedema after surgery or radiotherapy to the lymph nodes under the arm and surrounding area.	All	2025-12-11	Healthcare AI Team		
42	What are the symptoms of lymphoedema I should watch for?	Symptoms of lymphoedema include swelling, tightness, discomfort, dry skin, arm stiffness or heaviness, hardness or firmness (fibrosis), and pins and needles in the affected area. It’s important to seek advice from your healthcare team if you notice any of these symptoms.	SYMPTOMS	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	Lymphoedema symptoms can vary. It’s important to get advice from your breast care nurse or treatment team as soon as you notice any of the following symptoms in your “at risk” side.	All	2025-12-11	Healthcare AI Team		
43	How can I manage the risk of infection with lymphoedema?	To manage the risk of infection, maintain a good skincare routine by washing the affected area with warm water daily, drying thoroughly, and moisturising with a cream. Avoid skin damage by wearing gloves, using insect repellent, and being cautious with hair removal and nail care. Treat any cuts or bites promptly and protect the skin from the sun with sunscreen and loose clothing.	SKINCARE	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	Having a good skincare routine can help reduce the risk of infection. Here are some tips to help you keep your skin in the best possible condition.	All	2025-12-11	Healthcare AI Team		
44	What should I do if I suspect I have a skin infection like cellulitis?	If you suspect cellulitis, which may present as redness, tenderness, heat, and swelling in the affected area, along with flu-like symptoms, see your GP, treatment team, or lymphoedema specialist urgently. You will likely need to start antibiotics immediately and may be prescribed a low-dose antibiotic for continuous use if infections recur.	INFECTION	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	See your GP, treatment team or lymphoedema specialist urgently if you have these symptoms. You’ll probably need to start taking antibiotics straight away.	All	2025-12-11	Healthcare AI Team		
45	Where can I get support for managing lymphoedema?	You can get support from your breast care nurse, treatment team, or GP, who can refer you to a specialist lymphoedema service. Additionally, organizations like the Lymphoedema Support Network can provide information and support.	ADMIN_LOGISTICS	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	Your breast care nurse, treatment team or GP can refer you to a specialist lymphoedema service.	All	2025-12-11	Healthcare AI Team		
46	What treatments are available for managing lymphoedema?	Treatments for managing lymphoedema include skincare, physical activity and exercise, compression garments, manual lymphatic drainage (MLD), self lymphatic drainage (SLD), Kinesio Taping, and in some cases, surgery. These aim to encourage lymph fluid movement, improve symptoms, and prevent worsening.	CANCER_TREATMENT	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	There are various treatments and techniques to manage lymphoedema. These aim to: Encourage lymph fluid to move away from the swollen area, Improve symptoms of lymphoedema, Stop symptoms getting worse.	All	2025-12-11	Healthcare AI Team		
47	How can physical activity help manage lymphoedema?	Physical activity helps manage lymphoedema by encouraging lymph fluid to move away from the swollen area. Activities like running, swimming, cycling, Nordic walking, and yoga can be beneficial. It’s important to start gradually, wear compression garments during exercise, and avoid activities that cause discomfort or increased swelling.	PHYSICAL_ACTIVITY	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	Physical activity is a good way of managing swelling. This is because moving the muscles encourages lymph fluid to move away from the swollen area.	All	2025-12-11	Healthcare AI Team		
48	Are there specific exercises I should do for my arm and shoulder if I have lymphoedema?	Yes, your lymphoedema specialist, breast care nurse, or physiotherapist may provide specific arm and shoulder exercises to encourage movement and improve lymph drainage. These exercises should be done slowly and gently, 3 or 4 times a day, to avoid causing discomfort or increased swelling.	EXERCISES	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	Your lymphoedema specialist, breast care nurse or physiotherapist may give you some specific shoulder, arm or hand exercises to encourage movement and help improve lymph drainage.	All	2025-12-11	Healthcare AI Team		
49	How important is maintaining a healthy weight in managing lymphoedema?	Maintaining a healthy weight is important in managing lymphoedema as it can affect the degree of swelling and your response to treatment. Eating healthily and engaging in regular physical activity can help you maintain a healthy body weight. If needed, your healthcare team can provide advice or refer you to a dietitian.	NUTRITION	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	It’s important to try to maintain a healthy weight, as this can affect how much your arm swells and how you may respond to treatment.	All	2025-12-11	Healthcare AI Team		
50	What are compression garments and how do they help with lymphoedema?	Compression garments, such as sleeves, gloves, bras, or vests, are designed to encourage lymph fluid to drain away from the affected area, reducing existing swelling and preventing further swelling. Your lymphoedema specialist will assess your symptoms to determine the best size and type of garment for you.	COMPRESSION_GARMENTS	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	Compression garments are designed to encourage lymph fluid to drain away from the affected area. This helps to reduce existing swelling and prevent further swelling.	All	2025-12-11	Healthcare AI Team		
51	Can I continue my usual exercise routine if I have lymphoedema?	Yes, you can usually continue your usual exercise routine, but you may need to adjust the intensity. It’s important to start gradually, wear compression garments during exercise, and stop if you experience discomfort or increased swelling. Consult your lymphoedema specialist or treatment team for guidance.	PHYSICAL_ACTIVITY	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	It’s usually possible to carry on doing any exercise and sporting activities you did before you developed lymphoedema. However, you may not be able to perform at the same level as before.	All	2025-12-11	Healthcare AI Team		
52	What should I do to protect my skin from the sun if I have lymphoedema?	To protect your skin from the sun, apply a high factor sunscreen (at least SPF30) regularly, wear loose cotton clothes with long sleeves to cover swollen areas, and avoid direct sunlight. If you feel too hot, you can cool a spare garment in the fridge before wearing it.	SKINCARE	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	Apply a high factor sunscreen (at least SPF30) regularly. Protect the swollen areas of your body from the sun with loose cotton clothes with long sleeves.	All	2025-12-11	Healthcare AI Team		
53	How can I avoid damaging my skin if I have lymphoedema?	To avoid damaging your skin, wear gloves when washing up or gardening, use insect repellent with at least 50% DEET, be cautious with hair removal and nail care, and keep hydrated to prevent dry skin. Treat any cuts, scratches, or bites promptly with antiseptic cream.	SKINCARE	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	To avoid damaging your skin: Wear gloves when washing up, gardening or taking hot dishes out of the oven, Use insect repellent containing at least 50% DEET to prevent bites or stings, Take extra care if removing underarm hair or hair on your arm – an electric razor or hair removal cream are less likely to damage the skin.	All	2025-12-11	Healthcare AI Team		
54	What is manual lymphatic drainage (MLD) and how does it help?	Manual lymphatic drainage (MLD) is a specialized massage technique performed by a trained therapist to encourage the movement of lymph fluid away from the swollen area. It helps reduce swelling and improve symptoms of lymphoedema.	CANCER_TREATMENT	Breast Cancer	All Stages	bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf	Managing lymphoedema may involve some, or all, of the following: Manual lymphatic drainage (MLD)	All	2025-12-11	Healthcare AI Team		
