Query Categories,Resouces ( Name of leaflets and URL),Resources URL (actual link to leaflets),Videos,"Answer Type UK (Citations only, Summariztion, Resources+Web)","Answer Type India (Citations only, Summariztion, Resources+Web)",Do's ,Don'ts,KBs (UK) (DO NOT FILL),KBs (India)(DO NOT FILL)
   NUTRITION,"bcc98-diet-and-breast-cancer-web.pdf, bcc98-diet-and-breast-cancer-web.pdf, 22026_10061.pdf, MAC13614_E05_Building-up_diet_20250702.pdf","https://breastcancernow.org/media-assets/kgbi1gok/bcc98-diet-and-breast-cancer-web.pdf
https://breastcancernow.org/media-assets/kgbi1gok/bcc98-diet-and-breast-cancer-web.pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/11653-source/mac11616-e13-understanding-breast-cancer-interactive-pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/1531-source/mac13614-building-up-diet-e05-interactive-pdf
",,,,"Always have a disclaimer saying that ""If you are in active treatment stage, or are taking medications, always check with your healtcare provider before taking any supplements """,,,
   Exercise,"bcc6-excercises-after-breast-cancer-surgery-web-pdf.pdf, MAC12515_Physical+activity_E06_IntPDF_02.pdf","https://breastcancernow.org/media-assets/0f9r8m6d/bcc6-exercises-after-breast-cancer-surgery-web-pdf.pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/1531-source/mac12515-physical-activity-e06-interactive-pdf",,All+Web,,,,,
   EMOTIONAL_SUPPORT ,"bcc110-your-body-intimacy-and-sex-web-v2.pdf, MAC12515_Physical+activity_E06_IntPDF_02.pdf","https://breastcancernow.org/media-assets/2w1m8qk9/bcc110-your-body-intimacy-and-sex-web-v2.pdf
https://drive.google.com/file/d/1SMcvWtH3CACbqMHpR2VQOtTi9HjGcXdU/view?usp=sharing
","https://youtu.be/luo6aqdRHro, 
https://www.macmillan.org.uk/cancer-information-and-support/stories-and-media/videos/eye-make-up-for-hair-loss-bsl ",All+Web,,,,,
   Clothing,bcc123-breast-prostheses-bras-and-clothes-web-pdf.pdf,https://breastcancernow.org/media-assets/ul1fbk8z/bcc123-breast-prostheses-bras-and-clothes-web-pdf.pdf,,All+Web,,,,,
EMOTIONAL_SUPPORT ,"bcc110-your-body-intimacy-and-sex-web-v2.pdf, bcc161-understanding-your-results-web.pdf, bcc18-menopausal-symptoms-and-breast-cancer-2023-web-pdf.pdf, bcc197-moving-forward-web-pdf.pdf, MAC14215+Worrying+about+cancer+coming+back+E04+Interactive+PDF.pdf 
","https://breastcancernow.org/media-assets/2w1m8qk9/bcc110-your-body-intimacy-and-sex-web-v2.pdf
https://breastcancernow.org/media-assets/idffxksm/bcc161-understanding-your-results-web.pdf
https://breastcancernow.org/media-assets/3klxgkyp/bcc18-menopausal-symptoms-and-breast-cancer-2023-web-pdf.pdf
https://breastcancernow.org/media-assets/7qk3q9qd/bcc197-moving-forward-web-pdf.pdf
https://cdn.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/1531-source/mac14215-worrying-about-cancer-coming-back-e04-interactive-pdf", https://youtu.be/5f0-CKGIvdE ,All+Web,,,,,
DIAGNOSIS_TESTING ,"invasive-breast-cancer-nst-bcc210-web.pdf, bcn255-easy-read-diagnosed-with-primary-breast-cancer-web-pdf.pdf, bcn248-triple-negative-breast-cancer-web-pdf.pdf, bcc45-invasive-lobular-breast-cancer-web-pdf.pdf, bcc4-treating-primary-breast-cancer-web-pdf.pdf, bcc39-dcis-web.pdf, bcc23-inflammatory-breast-cancer-web-2025-new-address.pdf, 
","https://breastcancernow.org/media-assets/2m7h0v6k/bcc210-invasive-breast-cancer-nst-web.pdf
https://breastcancernow.org/media-assets/6x9p1m5e/bcn255-easy-read-diagnosed-with-primary-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/9k3m5e2x/bcn248-triple-negative-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/1s4n0m8d/bcc45-invasive-lobular-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/7e2p9m1k/bcc4-treating-primary-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/0k3m5p9e/bcc39-dcis-web.pdf
https://breastcancernow.org/media-assets/v9s6k1wp/bcc23-inflammatory-breast-cancer-web-2025.pdf
",https://youtu.be/bduq7WfNg-0 ,Citations only,,,,,
ADMIN_LOGISTICS ,,,,Summarize,,,,,
SAFETY_RED_FLAGS ,2024_Your_treatment_record_web_1.pdf,https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/11653-source/mac11616-e13-understanding-breast-cancer-interactive-pdf,,,,"Redirect to Medical Team ( use macmillan traffic lights system, in leaflet named <<2024_your record etc>>",,,
Statistics,,,,Citations only,,,Don't quote numbers,,
...,,,,,,,,,
...,,,,,,,,,
